SampleID,Soil_Type,Burned,Paired_Core,Plot
X15M,A,Y,52,A
X15T,O,Y,52,A
X1M,A,Y,4,B
X1T,O,Y,4,B
X4M,A,N,1,B
X4T,O,N,1,B
X52M,A,N,15,A
X52T,O,N,15,A
X56M,A,N,58,C
X56T,O,N,58,C
X58M,A,Y,56,C
X58T,O,Y,56,C
Blank,Blank1,Blank1,Blank1,Blank1
JP.CFB.09M,A,Y,11,D
JP.CFB.09T,O,Y,11,D
JP.CFB.11M,A,N,9,D
JP.CFB.11T,O,N,9,D
JP.CFB.17M,A,Y,23,E
JP.CFB.17T,O,Y,23,E
JP.CFB.23M,A,N,17,E
JP.CFB.23T,O,N,17,E
JP.CFB.30M,A,Y,53,F
JP.CFB.30T,O,Y,53,F
JP.CFB.53M,A,N,30,F
JP.CFB.53T,O,N,30,F
JP.CFB.Blank1,Blank2,Blank2,Blank2,Blank2